Plan,Premium
INDIVIDUAL:18 - 25:1:0:005,"1,522 : 2,817 : 4,111"
INDIVIDUAL:18 - 25:1:0:010,"2,647 : 4,897 : 7,147"
INDIVIDUAL:18 - 25:1:0:011,"4,165 : 7,706 : 11,246"
INDIVIDUAL:18 - 25:1:0:012,"5,291 : 9,788 : 14,286"
INDIVIDUAL:18 - 25:1:0:014,"7,540 : 13,950 : 20,359"
INDIVIDUAL:18 - 25:1:0:018,"12,041 : 22,275 : 32,509"
INDIVIDUAL:18 - 25:1:0:022,"18,453 : 34,138 : 49,823"
INDIVIDUAL:18 - 25:1:0:023,"24,078 : 44,544 : 65,010"
INDIVIDUAL:26 - 30:1:0:005,"1,801 : 3,332 : 4,863"
INDIVIDUAL:26 - 30:1:0:010,"3,206 : 5,930 : 8,655"
INDIVIDUAL:26 - 30:1:0:011,"5,002 : 9,254 : 13,506"
INDIVIDUAL:26 - 30:1:0:012,"6,406 : 11,850 : 17,295"
INDIVIDUAL:26 - 30:1:0:014,"9,212 : 17,043 : 24,873"
INDIVIDUAL:26 - 30:1:0:018,"14,826 : 27,428 : 40,030"
INDIVIDUAL:26 - 30:1:0:022,"22,629 : 41,864 : 61,099"
INDIVIDUAL:26 - 30:1:0:023,"29,646 : 54,845 : 80,045"
INDIVIDUAL:31 - 35:1:0:005,"2,418 : 4,473 : 6,529"
INDIVIDUAL:31 - 35:1:0:010,"4,436 : 8,207 : 11,977"
INDIVIDUAL:31 - 35:1:0:011,"6,847 : 12,667 : 18,487"
INDIVIDUAL:31 - 35:1:0:012,"8,865 : 16,401 : 23,936"
INDIVIDUAL:31 - 35:1:0:014,"12,901 : 23,867 : 34,833"
INDIVIDUAL:31 - 35:1:0:018,"20,972 : 38,798 : 56,624"
INDIVIDUAL:31 - 35:1:0:022,"31,848 : 58,920 : 85,991"
INDIVIDUAL:31 - 35:1:0:023,"41,938 : 77,586 : 113,234"
INDIVIDUAL:36 - 40:1:0:005,"3,807 : 7,043 : 10,278"
INDIVIDUAL:36 - 40:1:0:010,"7,208 : 13,335 : 19,461"
INDIVIDUAL:36 - 40:1:0:011,"11,003 : 20,356 : 29,709"
INDIVIDUAL:36 - 40:1:0:012,"14,405 : 26,648 : 38,892"
INDIVIDUAL:36 - 40:1:0:014,"21,207 : 39,233 : 57,258"
INDIVIDUAL:36 - 40:1:0:018,"34,813 : 64,403 : 93,994"
INDIVIDUAL:36 - 40:1:0:022,"52,606 : 97,321 : 142,036"
INDIVIDUAL:36 - 40:1:0:023,"69,613 : 128,783 : 187,954"
INDIVIDUAL:41 - 45:1:0:005,"6,787 : 12,555 : 18,324"
INDIVIDUAL:41 - 45:1:0:010,"13,156 : 24,339 : 35,522"
INDIVIDUAL:41 - 45:1:0:011,"19,920 : 36,853 : 53,785"
INDIVIDUAL:41 - 45:1:0:012,"26,290 : 48,636 : 70,983"
INDIVIDUAL:41 - 45:1:0:014,"39,030 : 72,206 : 105,382"
INDIVIDUAL:41 - 45:1:0:018,"64,510 : 119,344 : 174,178"
INDIVIDUAL:41 - 45:1:0:022,"97,148 : 179,723 : 262,298"
INDIVIDUAL:41 - 45:1:0:023,"128,998 : 238,647 : 348,295"
INDIVIDUAL:46 - 50:1:0:005,"12,114 : 22,410 : 32,707"
INDIVIDUAL:46 - 50:1:0:010,"23,064 : 42,669 : 62,273"
INDIVIDUAL:46 - 50:1:0:011,"35,138 : 65,006 : 94,874"
INDIVIDUAL:46 - 50:1:0:012,"46,088 : 85,262 : 124,437"
INDIVIDUAL:46 - 50:1:0:014,"67,989 : 125,780 : 183,570"
INDIVIDUAL:46 - 50:1:0:018,"111,790 : 206,812 : 301,834"
INDIVIDUAL:46 - 50:1:0:022,"168,788 : 312,258 : 455,728"
INDIVIDUAL:46 - 50:1:0:023,"223,539 : 413,547 : 603,556"
INDIVIDUAL:51 - 55:1:0:005,"19,233 : 35,580 : 51,928"
INDIVIDUAL:51 - 55:1:0:010,"37,277 : 68,962 : 100,647"
INDIVIDUAL:51 - 55:1:0:011,"56,443 : 104,419 : 152,396"
INDIVIDUAL:51 - 55:1:0:012,"74,486 : 137,799 : 201,111"
INDIVIDUAL:51 - 55:1:0:014,"110,572 : 204,559 : 298,545"
INDIVIDUAL:51 - 55:1:0:018,"182,746 : 338,080 : 493,413"
