Plan,Premium
INDIVIDUAL:5 - 24:1:0:001,2302.26:4259.17:6216.09
INDIVIDUAL:5 - 24:1:0:003,2550.57:4718.56:6886.54
INDIVIDUAL:5 - 24:1:0:005,2770.8:5125.98:7481.15
INDIVIDUAL:5 - 24:1:0:007,3313.5:6129.97:8946.44
INDIVIDUAL:5 - 24:1:0:009,3983.16:7368.85:10754.54
INDIVIDUAL:5 - 24:1:0:011,4633.73:8572.39:12511.06
INDIVIDUAL:5 - 24:1:0:013,6334.86:11719.49:17104.11
INDIVIDUAL:5 - 24:1:0:015,6469.69:11968.92:17468.16
INDIVIDUAL:5 - 24:1:0:017,6678.68:12355.56:18032.43
INDIVIDUAL:5 - 24:1:0:019,9752.85:18042.77:26332.69
INDIVIDUAL:5 - 24:1:0:021,10303.41:19061.31:27819.21
INDIVIDUAL:25 - 35:1:0:001,3474.17:6427.22:9380.26
INDIVIDUAL:25 - 35:1:0:003,3922.49:7256.6:10590.72
INDIVIDUAL:25 - 35:1:0:005,4384.29:8110.93:11837.58
INDIVIDUAL:25 - 35:1:0:007,5161.82:9549.36:13936.91
INDIVIDUAL:25 - 35:1:0:009,6016.88:11131.22:16245.57
INDIVIDUAL:25 - 35:1:0:011,6819.13:12615.39:18411.65
INDIVIDUAL:25 - 35:1:0:013,9143.86:16916.14:24688.41
INDIVIDUAL:25 - 35:1:0:015,9391.05:17373.44:25355.83
INDIVIDUAL:25 - 35:1:0:017,9682.06:17911.81:26141.57
INDIVIDUAL:25 - 35:1:0:019,17462.99:32306.53:47150.08
INDIVIDUAL:25 - 35:1:0:021,18902.32:34969.3:51036.27
INDIVIDUAL:36 - 40:1:0:001,3612.37:6682.89:9753.41
INDIVIDUAL:36 - 40:1:0:003,4092.15:7570.48:11048.81
INDIVIDUAL:36 - 40:1:0:005,4579.79:8472.62:12365.44
INDIVIDUAL:36 - 40:1:0:007,5385.41:9963.02:14540.62
INDIVIDUAL:36 - 40:1:0:009,6262.95:11586.45:16909.96
INDIVIDUAL:36 - 40:1:0:011,7084.3:13105.95:19127.6
INDIVIDUAL:36 - 40:1:0:013,9484.31:17545.97:25607.63
INDIVIDUAL:36 - 40:1:0:015,9744.98:18028.22:26311.45
INDIVIDUAL:36 - 40:1:0:017,10044.98:18583.22:27121.46
INDIVIDUAL:36 - 40:1:0:019,26601.23:49212.28:71823.32
INDIVIDUAL:36 - 40:1:0:021,29788.88:55109.43:80429.98
INDIVIDUAL:41 - 45:1:0:001,4513.5:8349.98:12186.45
INDIVIDUAL:41 - 45:1:0:003,5137.1:9503.63:13870.17
INDIVIDUAL:41 - 45:1:0:005,5804.52:10738.36:15672.2
INDIVIDUAL:41 - 45:1:0:007,6787.67:12557.19:18326.7
INDIVIDUAL:41 - 45:1:0:009,7805.65:14440.45:21075.25
INDIVIDUAL:41 - 45:1:0:011,8742.73:16174.05:23605.38
INDIVIDUAL:41 - 45:1:0:013,11616.9:21491.27:31365.63
INDIVIDUAL:41 - 45:1:0:015,11961.85:22129.41:32296.98
INDIVIDUAL:41 - 45:1:0:017,12324.77:22800.82:33276.87
INDIVIDUAL:41 - 45:1:0:019,40646.23:75195.53:109744.82
INDIVIDUAL:41 - 45:1:0:021,46146.25:85370.57:124594.88
INDIVIDUAL:46 - 50:1:0:001,6569.69:12153.93:17738.16
INDIVIDUAL:46 - 50:1:0:003,7506.77:13887.53:20268.28
INDIVIDUAL:46 - 50:1:0:005,8439.36:15612.82:22786.27
INDIVIDUAL:46 - 50:1:0:007,9739.36:18017.82:26296.28
INDIVIDUAL:46 - 50:1:0:009,11400.05:21090.08:30780.12
INDIVIDUAL:46 - 50:1:0:011,12543.87:23206.16:33868.45
INDIVIDUAL:46 - 50:1:0:013,15420.29:28527.53:41634.77
INDIVIDUAL:46 - 50:1:0:015,15919.16:29450.45:42981.74
INDIVIDUAL:46 - 50:1:0:017,16391.08:30323.49:44255.91
INDIVIDUAL:46 - 50:1:0:019,65571.05:121306.44:177041.83
INDIVIDUAL:46 - 50:1:0:021,75168.84:139062.35:202955.87
INDIVIDUAL:51 - 55:1:0:001,7478.68:13835.56:20192.44
INDIVIDUAL:51 - 55:1:0:003,8531.49:15783.27:23035.04
INDIVIDUAL:51 - 55:1:0:005,10159.59:18795.24:27430.9
INDIVIDUAL:51 - 55:1:0:007,11709.04:21661.72:31614.4
INDIVIDUAL:51 - 55:1:0:009,13567.47:25099.82:36632.17
INDIVIDUAL:51 - 55:1:0:011,14873.09:27515.22:40157.35
INDIVIDUAL:51 - 55:1:0:013,18414.68:34067.16:49719.64
INDIVIDUAL:51 - 55:1:0:015,19032.66:35210.42:51388.18
INDIVIDUAL:51 - 55:1:0:017,19591.09:36243.52:52895.94
INDIVIDUAL:51 - 55:1:0:019,96943.08:179344.71:261746.33
INDIVIDUAL:51 - 55:1:0:021,112118.43:207419.09:302719.75
INDIVIDUAL:56 - 60:1:0:001,9761.84:18059.4:26356.96
INDIVIDUAL:56 - 60:1:0:003,11201.17:20722.16:30243.15
INDIVIDUAL:56 - 60:1:0:005,12687.69:23472.23:34256.77
INDIVIDUAL:56 - 60:1:0:007,14604.55:27018.42:39432.29
INDIVIDUAL:56 - 60:1:0:009,16751.75:30990.74:45229.73
INDIVIDUAL:56 - 60:1:0:011,18296.7:33848.9:49401.1
INDIVIDUAL:56 - 60:1:0:013,22815.82:42209.27:61602.72
INDIVIDUAL:56 - 60:1:0:015,23610.21:43678.88:63747.56
INDIVIDUAL:56 - 60:1:0:017,24296.73:44948.94:65601.16
INDIVIDUAL:56 - 60:1:0:019,139476.96:258032.38:376587.8
INDIVIDUAL:56 - 60:1:0:021,162133.23:299946.48:437759.73
INDIVIDUAL:61 - 65:1:0:001,13468.59:24916.9:36365.2
INDIVIDUAL:61 - 65:1:0:003,15977.59:29558.55:43139.5
INDIVIDUAL:61 - 65:1:0:005,18220.3:33707.55:49194.8
INDIVIDUAL:61 - 65:1:0:007,17797.54:32925.45:48053.37
INDIVIDUAL:61 - 65:1:0:009,20161.32:37298.44:54435.55
INDIVIDUAL:61 - 65:1:0:011,21918.63:40549.46:59180.29
INDIVIDUAL:61 - 65:1:0:013,27578.31:51019.88:74461.44
INDIVIDUAL:61 - 65:1:0:015,28581.13:52875.08:77169.04
INDIVIDUAL:61 - 65:1:0:017,29400.57:54391.05:79381.53
INDIVIDUAL:61 - 65:1:0:019,160902.78:297670.14:434437.5
INDIVIDUAL:61 - 65:1:0:021,186724.74:345440.76:504156.79
INDIVIDUAL:66 - 70:1:0:001,19883.23:36783.97:53684.71
INDIVIDUAL:66 - 70:1:0:003,25660.78:47472.44:69284.1
INDIVIDUAL:66 - 70:1:0:005,29428.21:54442.18:79456.16
INDIVIDUAL:66 - 70:1:0:007,28706.24:53106.54:77506.84
INDIVIDUAL:66 - 70:1:0:009,32160.69:59497.28:86833.86
INDIVIDUAL:66 - 70:1:0:011,34818.62:64414.45:94010.28
INDIVIDUAL:66 - 70:1:0:013,44161.97:81699.65:119237.33
INDIVIDUAL:66 - 70:1:0:015,45828.55:84782.83:123737.1
INDIVIDUAL:66 - 70:1:0:017,47128.39:87187.52:127246.66
INDIVIDUAL:66 - 70:1:0:019,181879.72:336477.48:491075.23
INDIVIDUAL:66 - 70:1:0:021,208034.99:384864.73:561694.47
INDIVIDUAL:71 - 75:1:0:001,24894.48:46054.79:67215.1
INDIVIDUAL:71 - 75:1:0:003,33425.98:61838.06:90250.14
INDIVIDUAL:71 - 75:1:0:005,38384.42:71011.18:103637.94
INDIVIDUAL:71 - 75:1:0:007,37423.07:69232.68:101042.29
INDIVIDUAL:71 - 75:1:0:009,41748.54:77234.79:112721.05
INDIVIDUAL:71 - 75:1:0:011,45126.59:83484.18:121841.78
INDIVIDUAL:71 - 75:1:0:013,57411.52:106211.32:155011.11
INDIVIDUAL:71 - 75:1:0:015,59610.07:110278.63:160947.19
INDIVIDUAL:71 - 75:1:0:017,61291.93:113390.07:165488.21
INDIVIDUAL:71 - 75:1:0:019,198641.02:367485.89:536330.75
INDIVIDUAL:71 - 75:1:0:021,225061.8:416364.33:607666.86
INDIVIDUAL:76 - 99:1:0:001,29512.48:54598.08:79683.69
INDIVIDUAL:76 - 99:1:0:003,41070.95:75981.26:110891.57
INDIVIDUAL:76 - 99:1:0:005,47200.19:87320.35:127440.51
INDIVIDUAL:76 - 99:1:0:007,46004.29:85107.93:124211.57
INDIVIDUAL:76 - 99:1:0:009,51186.44:94694.92:138203.39
INDIVIDUAL:76 - 99:1:0:011,55273.14:102255.31:149237.48
INDIVIDUAL:76 - 99:1:0:013,70456.69:130344.87:190233.05
INDIVIDUAL:76 - 99:1:0:015,73176.7:135376.89:197577.08
INDIVIDUAL:76 - 99:1:0:017,75235.81:139186.24:203136.68
INDIVIDUAL:76 - 99:1:0:019,215141.59:398011.94:580882.3
INDIVIDUAL:76 - 99:1:0:021,241824.06:447374.51:652924.95
FAMILYFLOATER:18 - 24:2:0:002,3505:6485:9464
FAMILYFLOATER:18 - 24:2:0:004,3852:7126:10400
FAMILYFLOATER:18 - 24:2:0:006,4160:7696:11233
FAMILYFLOATER:18 - 24:2:0:008,5201:9622:14043
FAMILYFLOATER:18 - 24:2:0:010,6408:11855:17302
FAMILYFLOATER:18 - 24:2:0:012,7601:14062:20523
FAMILYFLOATER:18 - 24:2:0:014,10486:19399:28312
FAMILYFLOATER:18 - 24:2:0:016,10674:19748:28821
FAMILYFLOATER:18 - 24:2:0:018,10968:20291:29613
FAMILYFLOATER:18 - 24:2:0:020,15272:28254:41235
FAMILYFLOATER:18 - 24:2:0:022,16041:29676:43311
FAMILYFLOATER:18 - 24:2:1:002,3616:6690:9763
FAMILYFLOATER:18 - 24:2:1:004,4126:7633:11139
FAMILYFLOATER:18 - 24:2:1:006,4610:8528:12447
FAMILYFLOATER:18 - 24:2:1:008,5529:10228:14927
FAMILYFLOATER:18 - 24:2:1:010,6743:12475:18206
FAMILYFLOATER:18 - 24:2:1:012,7943:14694:21446
FAMILYFLOATER:18 - 24:2:1:014,10238:18941:27643
FAMILYFLOATER:18 - 24:2:1:016,10924:20209:29495
FAMILYFLOATER:18 - 24:2:1:018,11778:21789:31800
FAMILYFLOATER:18 - 24:2:1:020,15364:28424:41484
FAMILYFLOATER:18 - 24:2:1:022,16470:30470:44470
FAMILYFLOATER:18 - 24:3:1:002,4919:9101:13282
FAMILYFLOATER:18 - 24:3:1:004,5550:10268:14986
FAMILYFLOATER:18 - 24:3:1:006,6144:11366:16589
FAMILYFLOATER:18 - 24:3:1:008,7608:14074:20540
FAMILYFLOATER:18 - 24:3:1:010,9381:17355:25329
FAMILYFLOATER:18 - 24:3:1:012,11139:20607:30075
FAMILYFLOATER:18 - 24:3:1:014,14679:27155:39632
FAMILYFLOATER:18 - 24:3:1:016,15432:28550:41667
FAMILYFLOATER:18 - 24:3:1:018,16368:30281:44194
FAMILYFLOATER:18 - 24:3:1:020,21246:39304:57363
FAMILYFLOATER:18 - 24:3:1:022,22578:41770:60962
FAMILYFLOATER:18 - 24:3:2:002,4999:9249:13498
FAMILYFLOATER:18 - 24:3:2:004,5627:10410:15193
