Plan,Premium
INDIVIDUAL:5 - 24:1:0:001,2762.71:5111.01:7459.31
INDIVIDUAL:5 - 24:1:0:003,3060.69:5662.27:8263.85
INDIVIDUAL:5 - 24:1:0:005,3324.96:6151.17:8977.38
INDIVIDUAL:5 - 24:1:0:007,3644.85:6742.97:9841.08
INDIVIDUAL:5 - 24:1:0:009,4381.48:8105.73:11829.99
INDIVIDUAL:5 - 24:1:0:011,5097.1:9429.63:13762.17
INDIVIDUAL:5 - 24:1:0:013,6968.34:12891.43:18814.52
INDIVIDUAL:5 - 24:1:0:015,7116.66:13165.82:19214.98
INDIVIDUAL:5 - 24:1:0:017,7346.55:13591.11:19835.67
INDIVIDUAL:25 - 35:1:0:001,4169.01:7712.66:11256.31
INDIVIDUAL:25 - 35:1:0:003,4706.99:8707.92:12708.86
INDIVIDUAL:25 - 35:1:0:005,5261.14:9733.12:14205.09
INDIVIDUAL:25 - 35:1:0:007,5678:10504.3:15330.6
INDIVIDUAL:25 - 35:1:0:009,6618.57:12244.35:17870.13
INDIVIDUAL:25 - 35:1:0:011,7501.04:13876.93:20252.81
INDIVIDUAL:25 - 35:1:0:013,10058.24:18607.75:27157.25
INDIVIDUAL:25 - 35:1:0:015,10330.15:19110.78:27891.41
INDIVIDUAL:25 - 35:1:0:017,10650.27:19702.99:28755.72
INDIVIDUAL:36 - 40:1:0:001,4334.85:8019.47:11704.09
INDIVIDUAL:36 - 40:1:0:003,4910.58:9084.58:13258.57
INDIVIDUAL:36 - 40:1:0:005,5495.75:10167.14:14838.53
INDIVIDUAL:36 - 40:1:0:007,5923.96:10959.32:15994.68
INDIVIDUAL:36 - 40:1:0:009,6889.24:12745.1:18600.95
INDIVIDUAL:36 - 40:1:0:011,7792.73:14416.55:21040.37
INDIVIDUAL:36 - 40:1:0:013,10432.74:19300.57:28168.39
INDIVIDUAL:36 - 40:1:0:015,10719.48:19831.04:28942.6
INDIVIDUAL:36 - 40:1:0:017,11049.48:20441.54:29833.6
INDIVIDUAL:41 - 45:1:0:001,5416.2:10019.97:14623.74
INDIVIDUAL:41 - 45:1:0:003,6164.52:11404.36:16644.2
INDIVIDUAL:41 - 45:1:0:005,6965.42:12886.03:18806.64
INDIVIDUAL:41 - 45:1:0:007,7466.43:13812.9:20159.37
INDIVIDUAL:41 - 45:1:0:009,8586.21:15884.5:23182.78
INDIVIDUAL:41 - 45:1:0:011,9617:17791.46:25965.91
INDIVIDUAL:41 - 45:1:0:013,12778.59:23640.39:34502.19
